epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
83,29508.8,0.14107,0.0974,0.7393,0.90985,0.81818,0.90085,0.77523,0.68166,0.51385,1.21883,0.001882,0.001882,0.001882
84,29866.2,0.13959,0.09571,0.73904,0.91237,0.81746,0.90068,0.77553,0.68044,0.50909,1.22162,0.001783,0.001783,0.001783
85,30226.3,0.13654,0.09397,0.73882,0.91202,0.81901,0.90186,0.77572,0.68132,0.5049,1.22309,0.001684,0.001684,0.001684
86,30574,0.13458,0.0924,0.73841,0.91473,0.82007,0.90214,0.77658,0.68222,0.50935,1.22513,0.001585,0.001585,0.001585
87,30914,0.13157,0.08917,0.73696,0.91488,0.82164,0.90097,0.77732,0.68043,0.51218,1.22513,0.001486,0.001486,0.001486
88,31262.8,0.12989,0.08736,0.73678,0.91437,0.82149,0.90093,0.77782,0.68142,0.51042,1.22466,0.001387,0.001387,0.001387
89,31622.4,0.12785,0.08455,0.73684,0.91347,0.82149,0.9014,0.77795,0.6812,0.50875,1.22369,0.001288,0.001288,0.001288
90,31980.5,0.12478,0.08323,0.73756,0.91199,0.8219,0.90089,0.7784,0.68207,0.50841,1.22668,0.001189,0.001189,0.001189
91,32340.6,0.12531,0.08179,0.73536,0.91456,0.82267,0.9002,0.77676,0.68015,0.5121,1.22433,0.00109,0.00109,0.00109
92,32700.2,0.1231,0.08043,0.73563,0.912,0.82221,0.89975,0.77554,0.68142,0.51154,1.2291,0.000991,0.000991,0.000991
93,33057,0.12142,0.07921,0.73566,0.91331,0.82314,0.89969,0.77576,0.68151,0.5114,1.23016,0.000892,0.000892,0.000892
94,33400.6,0.11664,0.07589,0.73535,0.91442,0.82125,0.89925,0.77465,0.68142,0.50977,1.2297,0.000793,0.000793,0.000793
95,33742.2,0.11706,0.07463,0.73501,0.9131,0.82058,0.89783,0.77272,0.68219,0.51398,1.23062,0.000694,0.000694,0.000694
96,34083.6,0.1158,0.07364,0.7341,0.91228,0.81983,0.89618,0.77144,0.68245,0.51244,1.23343,0.000595,0.000595,0.000595
97,34425.9,0.11592,0.07206,0.73404,0.91073,0.81788,0.89536,0.77097,0.68284,0.5143,1.23548,0.000496,0.000496,0.000496
98,34783.6,0.11314,0.06988,0.73404,0.90931,0.8186,0.89526,0.77086,0.68264,0.51649,1.23541,0.000397,0.000397,0.000397
99,35140,0.10973,0.06742,0.73381,0.91007,0.81962,0.89467,0.76986,0.68287,0.517,1.23615,0.000298,0.000298,0.000298
100,35480.6,0.10853,0.06576,0.73334,0.90967,0.81818,0.89389,0.76958,0.68169,0.51918,1.23497,0.000199,0.000199,0.000199
