epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
98,32324.4,0.24425,0.144,0.77784,0.92965,0.87056,0.932,0.81544,0.62448,0.43247,1.18603,0.0019975,0.0019975,0.0019975
99,32644.9,0.23293,0.13952,0.77036,0.9219,0.87586,0.93091,0.81547,0.6242,0.43521,1.18725,0.001915,0.001915,0.001915
100,32965.3,0.23335,0.13993,0.77283,0.93223,0.86844,0.93145,0.81479,0.62408,0.43154,1.18988,0.0018325,0.0018325,0.0018325
101,33285.8,0.23284,0.13883,0.77217,0.92331,0.87496,0.93132,0.81449,0.6241,0.43328,1.19232,0.00175,0.00175,0.00175
102,33606.1,0.23197,0.13723,0.77073,0.9209,0.87798,0.93066,0.81392,0.62382,0.43293,1.19289,0.0016675,0.0016675,0.0016675
103,33926.4,0.23068,0.13638,0.77182,0.92286,0.87639,0.93047,0.814,0.6233,0.43157,1.19388,0.001585,0.001585,0.001585
104,34247.1,0.22447,0.13308,0.76781,0.92288,0.87745,0.93029,0.81418,0.62408,0.43419,1.19564,0.0015025,0.0015025,0.0015025
105,34567.6,0.22381,0.13369,0.76821,0.92399,0.87701,0.92984,0.81397,0.62533,0.43674,1.19751,0.00142,0.00142,0.00142
106,34888.6,0.22168,0.13164,0.76802,0.92462,0.87848,0.93033,0.81466,0.62428,0.43401,1.19639,0.0013375,0.0013375,0.0013375
107,35210,0.22139,0.13025,0.76596,0.92113,0.87745,0.93025,0.815,0.62342,0.43405,1.1962,0.001255,0.001255,0.001255
108,35530.5,inf,0.1294,0.766,0.92006,0.88117,0.93005,0.81422,0.62251,0.43556,1.19672,0.0011725,0.0011725,0.0011725
109,35851,0.2196,0.12957,0.76731,0.91826,0.88197,0.93007,0.81411,0.62155,0.43421,1.1963,0.00109,0.00109,0.00109
110,36171.2,0.2153,0.1267,0.7645,0.92201,0.87803,0.93049,0.81449,0.62123,0.43399,1.19732,0.0010075,0.0010075,0.0010075
111,36492,0.21282,0.12464,0.76434,0.91844,0.88223,0.93056,0.81482,0.62153,0.43441,1.19902,0.000925,0.000925,0.000925
112,36812.2,0.20933,0.12287,0.76245,0.9234,0.87851,0.93035,0.81514,0.62146,0.43504,1.19954,0.0008425,0.0008425,0.0008425
113,37132.6,0.20451,0.12069,0.76038,0.92253,0.88011,0.93047,0.81501,0.62109,0.43576,1.19964,0.00076,0.00076,0.00076
114,37453,0.20116,0.11909,0.75941,0.92144,0.88011,0.93083,0.81492,0.62058,0.43548,1.20007,0.0006775,0.0006775,0.0006775
115,37773.7,0.20495,0.12065,0.7601,0.92379,0.87851,0.93007,0.8147,0.62048,0.43381,1.20061,0.000595,0.000595,0.000595
116,38094.3,inf,0.11867,0.75919,0.92314,0.87851,0.92989,0.81506,0.6208,0.43318,1.20139,0.0005125,0.0005125,0.0005125
117,38414.6,inf,0.11723,0.7592,0.92402,0.87742,0.92963,0.81502,0.6208,0.43394,1.2018,0.00043,0.00043,0.00043
118,38734.9,0.19931,0.11677,0.75916,0.92548,0.8763,0.93024,0.81504,0.62113,0.43467,1.20256,0.0003475,0.0003475,0.0003475
119,39055.6,0.19219,0.11356,0.75734,0.92449,0.87639,0.93029,0.81495,0.62089,0.43512,1.20301,0.000265,0.000265,0.000265
120,39375.8,0.1985,0.11524,0.75823,0.92319,0.87992,0.93026,0.81509,0.62089,0.43621,1.20399,0.0001825,0.0001825,0.0001825
